Transacción Bancaria,Transferencia entre cuentas propias,93462.7179370652,2023-04-12,Investigado
Denuncia de Corrupción,Queja por trato indebido,17135.359956360422,2023-05-12,Sospechoso
Denuncia de Corrupción,Información sobre conflicto de intereses,6598.654139229424,2023-09-15,Normal
Transacción Bancaria,Transferencia entre cuentas propias,94893.665171608,2023-01-06,Investigado
Transacción Bancaria,Transferencia a paraíso fiscal,96566.64010414848,2023-08-07,Investigado
Transacción Bancaria,Retiro de gran cantidad en efectivo,80858.89507683447,2023-09-13,Normal
Transacción Bancaria,Transferencia inusual a cuenta desconocida,30530.91554041973,2024-02-03,Sospechoso
Denuncia de Corrupción,Denuncia de soborno a funcionario público,9857.444189237749,2023-12-26,Sospechoso
Denuncia de Corrupción,Denuncia de soborno a funcionario público,68454.87934856447,2023-10-11,Sospechoso
Denuncia de Corrupción,Denuncia de soborno a funcionario público,44071.23412458617,2024-01-29,Investigado
Transacción Bancaria,Pago de servicios,12291.619660993405,2023-07-27,Normal
Denuncia de Corrupción,Denuncia de soborno a funcionario público,49568.17332011589,2023-01-16,Investigado
Denuncia de Corrupción,Denuncia de soborno a funcionario público,3535.4132594103176,2023-12-13,Investigado
Transacción Bancaria,Transferencia a paraíso fiscal,90941.10816767033,2023-02-12,Sospechoso
Transacción Bancaria,Transferencia inusual a cuenta desconocida,25952.12016184169,2024-01-16,Sospechoso
Transacción Bancaria,Retiro de gran cantidad en efectivo,66285.9762069628,2023-06-29,Normal
Transacción Bancaria,Pago de servicios,31239.936501332155,2023-03-05,Normal
Transacción Bancaria,Compra sospechosa online,52054.7953156633,2023-12-19,Sospechoso
Transacción Bancaria,Transferencia inusual a cuenta desconocida,54716.35690639364,2023-08-20,Sospechoso
Transacción Bancaria,Retiro de gran cantidad en efectivo,18566.96010700015,2023-08-30,Sospechoso
Denuncia de Corrupción,Información sobre conflicto de intereses,96961.5043136794,2023-02-22,Normal
Transacción Bancaria,Transferencia inusual a cuenta desconocida,77535.76905377534,2023-04-07,Sospechoso
Transacción Bancaria,Transferencia a paraíso fiscal,93955.94426226249,2024-01-24,Normal
Transacción Bancaria,Débito automático,89493.25230772211,2023-08-11,Sospechoso
Transacción Bancaria,Compra sospechosa online,59830.207883227406,2023-08-20,Investigado
Denuncia de Corrupción,Información sobre conflicto de intereses,92195.23607880936,2023-08-26,Investigado
Transacción Bancaria,Pago de servicios,8940.400954986757,2023-05-24,Normal
Transacción Bancaria,Débito automático,175295.3743383857,2023-06-21,Normal
Transacción Bancaria,Transferencia a paraíso fiscal,4618.206162162753,2023-01-30,Investigado
Transacción Bancaria,Transferencia a paraíso fiscal,32600.500043250107,2023-02-06,Sospechoso
