ID_Transaccion,Fecha,Cuenta_Origen,Cuenta_Destino,Monto,Tipo_Transaccion,Ubicacion_IP,Dispositivo,Es_Fraudulenta
1,2024-11-05,ACC-782752,ACC-559448,2202.05243750718,Pago,216.39.166.46,Tablet,0
2,2024-12-10,ACC-260851,ACC-274631,1119.0822543624608,Débito,31.100.247.195,Computadora,0
3,2024-09-18,ACC-627295,ACC-459759,2964.387662992537,Pago,174.71.84.183,Computadora,0
4,2024-07-22,ACC-410432,ACC-388437,3121.0506744793156,Crédito,9.176.185.244,Computadora,0
5,2024-06-21,ACC-659131,ACC-770035,1237.0058400736402,Pago,56.128.28.246,Tablet,0
6,2024-05-05,ACC-854056,ACC-582811,3486.784264467234,Transferencia,168.136.33.15,Computadora,0
7,2024-06-01,ACC-849124,ACC-647731,775.4607913182623,Débito,101.55.252.10,Smartphone,0
8,2024-10-07,ACC-231916,ACC-462793,1210.197921410178,Débito,84.40.97.41,Smartphone,0
9,2024-08-21,ACC-945456,ACC-858419,3875.9802217571396,Crédito,112.247.1.233,Smartphone,0
10,2025-03-05,ACC-613124,ACC-359701,399.6816511288332,Transferencia,60.255.166.129,Computadora,0
11,2025-03-03,ACC-417246,ACC-556413,4794.987323641963,Crédito,9.69.133.182,Tablet,0
12,2025-03-23,ACC-992772,ACC-121133,1990.972229640211,Crédito,96.68.240.80,Tablet,0
13,2024-09-06,ACC-720864,ACC-449335,3799.699794934503,Débito,23.21.71.77,Tablet,0
14,2024-04-04,ACC-487361,ACC-608030,2829.807897530969,Crédito,42.198.173.5,Smartphone,0
15,2025-01-10,ACC-770316,ACC-943844,2720.055430738873,Crédito,23.118.47.122,Smartphone,0
16,2024-09-08,ACC-637460,ACC-467381,3236.7407829017275,Transferencia,4.241.173.254,Tablet,0
17,2024-12-10,ACC-485694,ACC-189333,1469.5350891480155,Transferencia,95.252.230.12,Computadora,0
18,2024-05-20,ACC-724600,ACC-220427,773.100120420217,Débito,211.133.107.7,Tablet,0
19,2024-05-11,ACC-463535,ACC-857547,1651.608079826042,Transferencia,138.207.153.46,Tablet,0
20,2025-02-07,ACC-443475,ACC-753744,2969.8477080100192,Débito,188.24.50.241,Tablet,0
21,2025-03-16,ACC-924507,ACC-440542,759.5399287235149,Transferencia,112.243.142.222,Tablet,0
22,2024-07-23,ACC-848616,ACC-355529,862.0344571125606,Transferencia,1.24.19.45,Smartphone,0
23,2025-01-31,ACC-742994,ACC-325735,4217.888444378095,Pago,94.9.225.2,Smartphone,0
24,2025-03-24,ACC-291805,ACC-974616,2193.532923762495,Pago,70.204.216.212,Tablet,0
25,2024-05-05,ACC-386667,ACC-483704,3232.655385744336,Transferencia,162.176.185.220,Smartphone,0
26,2024-10-25,ACC-973694,ACC-526851,3815.659305574898,Transferencia,185.117.97.153,Tablet,0
27,2024-08-11,ACC-295754,ACC-509652,4370.801732706241,Pago,140.109.39.171,Smartphone,0
28,2024-06-13,ACC-332912,ACC-205094,4099.126774634131,Pago,78.172.66.102,Smartphone,0
29,2024-07-15,ACC-344681,ACC-689038,3147.122427831992,Crédito,99.192.117.68,Computadora,0
30,2024-11-23,ACC-524452,ACC-802456,4120.7008742584985,Pago,169.44.200.132,Computadora,0
31,2024-09-17,ACC-406850,ACC-884714,700.7140767251423,Crédito,73.237.34.108,Tablet,0
32,2024-12-18,ACC-287865,ACC-263575,4135.804838386814,Transferencia,70.63.143.101,Tablet,0
33,2024-04-25,ACC-808909,ACC-731438,1874.0526334244894,Débito,163.6.194.57,Computadora,0
34,2025-03-07,ACC-836278,ACC-939361,1600.8336355881286,Pago,55.168.54.236,Smartphone,0
35,2025-03-07,ACC-292430,ACC-356478,3932.9866856023827,Débito,139.82.133.115,Tablet,0
36,2024-12-27,ACC-309129,ACC-388507,1016.8324014137415,Pago,55.151.70.252,Computadora,0
37,2024-07-18,ACC-796286,ACC-983063,4908.353565090528,Pago,76.5.3.14,Smartphone,0
38,2025-03-20,ACC-181716,ACC-471586,2846.4203489735323,Crédito,91.145.22.105,Smartphone,0
39,2025-03-04,ACC-230345,ACC-535139,4048.557232420262,Crédito,97.124.181.53,Smartphone,0
40,2024-12-21,ACC-515877,ACC-386048,1997.887696648415,Transferencia,111.20.33.31,Computadora,0
41,2024-07-10,ACC-504656,ACC-397305,832.8406635795217,Crédito,216.186.250.170,Computadora,0
42,2024-06-19,ACC-218495,ACC-510210,3537.266739182836,Pago,134.241.142.68,Tablet,0
43,2025-01-16,ACC-626857,ACC-484357,4736.391700792134,Pago,183.120.143.73,Computadora,0
44,2025-03-01,ACC-555027,ACC-726722,3511.3752201418515,Transferencia,3.36.7.173,Computadora,0
45,2024-05-02,ACC-442990,ACC-118597,3330.1375688275534,Débito,138.204.77.168,Smartphone,0
46,2024-10-21,ACC-574443,ACC-777172,2384.9629345937974,Pago,50.152.77.11,Computadora,0
47,2025-01-27,ACC-707656,ACC-100211,2106.8829592214443,Crédito,17.226.130.93,Computadora,0
48,2024-06-15,ACC-301463,ACC-638244,3575.4524295266274,Pago,152.103.216.94,Tablet,0
49,2024-09-07,ACC-527551,ACC-979543,870.6318846543282,Débito,10.187.163.89,Tablet,0
50,2024-05-08,ACC-716628,ACC-280711,2777.735345164891,Crédito,2.183.83.35,Computadora,0
51,2024-04-10,ACC-397107,ACC-884169,3825.28196393773,Débito,102.181.224.147,Computadora,0
52,2024-09-16,ACC-157583,ACC-239473,4431.494365973424,Débito,87.161.229.152,Tablet,0
53,2024-07-30,ACC-548094,ACC-332580,2060.1638402716794,Crédito,215.34.64.205,Tablet,0
54,2025-03-24,ACC-824623,ACC-372066,4630.944732077237,Crédito,6.79.37.103,Computadora,0
55,2024-07-24,ACC-156275,ACC-390740,405.06454217037725,Pago,177.86.42.169,Computadora,0
56,2024-11-28,ACC-335581,ACC-751268,512.0163553179736,Pago,86.128.132.123,Smartphone,0
