ID_Licitacion,Organismo_Convocante,Objeto,Fecha_Publicacion,Fecha_Cierre,Monto_Estimado,Empresa_Ganadora,Monto_Adjudicado,Proceso_Seleccion,Participantes,Relacion_Funcionario_Ganador,Es_Irregular
1,Rojas PLC,Construcción de Obra,2025-03-23,2025-03-31,2921426.728797165,Garcia Inc,1944753.3018959886,Licitación Pública,5,0,0
2,Rodriguez-Barrios,Construcción de Obra,2025-03-23,2025-03-17,502859.8451188866,Benitez-Fernandez,4500766.777923329,Contratación Directa,3,0,0
3,"Pereyra, Vega and Moreno",Construcción de Obra,2025-03-19,2025-04-01,4393431.2700203825,Rodriguez-Soria,2484397.068994977,Concurso de Precios,4,0,0
4,"Gimenez, Aguero and Ramirez",Servicios de Consultoría,2025-02-27,2025-03-18,1364720.210814095,"Castro, Herrera and Silva",5036037.120900391,Concurso de Precios,2,1,0
5,Gonzalez-Velazquez,Mantenimiento,2025-03-21,2025-06-21,691098.8603498806,Alvarez-Castillo,1001384.0334495895,Contratación Directa,2,1,0
6,"Perez, Vazquez and Gonzalez",Construcción de Obra,2025-02-28,2025-04-17,4449302.9953514375,Castillo-Godoy,4522752.430811173,Contratación Directa,2,1,0
7,Diaz and Sons,Suministro de Equipamiento,2025-02-26,2025-04-05,4780474.916237279,"Diaz, Pereyra and Escobar",4048356.776141429,Licitación Pública,3,0,0
8,"Caceres, Carrizo and Carrizo",Suministro de Equipamiento,2025-01-16,2025-03-24,4317531.70546398,Romero-Mansilla,4019102.109140088,Concurso de Precios,5,1,0
9,Vazquez Group,Mantenimiento,2025-02-02,2025-04-07,4057104.5698881466,Gonzalez Group,4399857.540942556,Contratación Directa,1,1,0
10,"Morales, Diaz and Fernandez",Suministro de Equipamiento,2025-01-27,2025-03-29,3293447.8041631575,Gonzalez-Ponce,3968078.6733111595,Concurso de Precios,3,0,0
11,"Martin, Vargas and Ledesma",Servicios de Consultoría,2025-02-15,2025-03-12,2776743.9845152395,"Villalba, Gonzalez and Leiva",3273165.7580099464,Contratación Directa,5,0,0
12,Silva-Medina,Servicios de Consultoría,2025-02-11,2025-04-03,480584.4615614802,Martinez-Juarez,721567.3444527079,Concurso de Precios,5,1,0
13,Cabrera Ltd,Mantenimiento,2025-02-13,2025-05-09,2071843.4046999586,"Gomez, Ledesma and Cordoba",212672.45527740364,Contratación Directa,1,0,0
14,"Rodriguez, Molina and Fernandez",Mantenimiento,2025-01-25,2025-05-07,1894808.159210954,"Nuñez, Carrizo and Ramirez",4791970.655489866,Licitación Pública,4,0,0
15,Rojas-Gonzalez,Servicios de Consultoría,2025-03-14,2025-04-01,1335781.2296136147,Sosa Ltd,3223832.3713544044,Concurso de Precios,1,0,0
16,Lopez-Fernandez,Servicios de Consultoría,2025-02-09,2025-04-11,3630929.5627584956,Garcia-Gimenez,4151149.734982189,Licitación Pública,1,0,0
17,Toledo Group,Construcción de Obra,2025-02-05,2025-02-14,2504584.8886399153,"Avila, Gonzalez and Sanchez",2527247.722047196,Licitación Pública,5,0,0
18,Rios-Benitez,Suministro de Equipamiento,2025-01-11,2025-03-11,451178.76874285727,"Martinez, Sosa and Vega",649723.7141011435,Contratación Directa,5,0,0
19,Mansilla-Lucero,Suministro de Equipamiento,2025-01-06,2025-02-16,1139906.849651566,Caceres Group,690332.7588041475,Licitación Pública,2,1,0
