ID_Transaccion,Fecha,Cuenta_Origen,Cuenta_Destino,Monto,Tipo_Transaccion,Ubicacion_IP,Dispositivo,Es_Fraudulenta
1,2024-08-23,ACC-551534,ACC-264407,3419.1888768008384,Pago,86.27.245.151,Computadora,0
2,2024-05-04,ACC-236825,ACC-600194,1071.2717292178909,Transferencia,182.101.182.202,Tablet,0
3,2024-12-14,ACC-960700,ACC-793134,2123.5988987901596,Pago,206.71.211.250,Smartphone,0
4,2024-06-28,ACC-531266,ACC-448441,3123.7659591781808,Transferencia,22.195.100.222,Tablet,0
5,2024-06-06,ACC-625513,ACC-858169,723.5416677313298,Crédito,104.124.62.102,Smartphone,0
6,2024-07-06,ACC-879439,ACC-227516,1377.027557783113,Débito,25.186.179.29,Smartphone,0
7,2024-11-30,ACC-106066,ACC-292178,4380.7693656659985,Pago,62.180.86.81,Computadora,0
8,2024-05-03,ACC-818087,ACC-588882,1491.5981690402864,Crédito,10.51.106.105,Tablet,0
9,2025-03-02,ACC-633773,ACC-706923,4304.552264862818,Pago,143.247.119.72,Tablet,0
10,2024-07-09,ACC-715558,ACC-891078,1829.5932309787952,Pago,23.241.112.13,Computadora,0
11,2024-08-19,ACC-181869,ACC-563108,2165.5197393546405,Transferencia,32.219.214.31,Smartphone,0
12,2025-01-25,ACC-862670,ACC-750341,587.6326321729525,Pago,176.80.111.171,Tablet,0
13,2024-11-27,ACC-569339,ACC-333233,3842.100765934571,Pago,11.149.91.14,Tablet,0
14,2025-01-22,ACC-726884,ACC-722708,2250.9687290584243,Crédito,49.226.34.89,Computadora,0
15,2024-08-25,ACC-597502,ACC-302076,86.27042483674019,Pago,74.111.105.24,Tablet,0
16,2024-06-03,ACC-495772,ACC-465789,333.75904978230193,Crédito,188.239.37.142,Smartphone,0
17,2024-07-20,ACC-165993,ACC-321420,1303.9224219491211,Crédito,23.20.60.72,Smartphone,0
18,2024-08-12,ACC-101549,ACC-563829,1721.134570091246,Débito,38.78.113.212,Smartphone,0
19,2024-08-21,ACC-901583,ACC-270681,698.7141113579773,Crédito,183.91.18.207,Smartphone,0
20,2024-10-06,ACC-117345,ACC-958364,554.0497329577865,Débito,112.93.205.202,Smartphone,0
21,2024-10-08,ACC-888014,ACC-925295,1748.476895437711,Pago,134.101.162.207,Tablet,0
22,2025-01-27,ACC-714997,ACC-104480,4327.750580823779,Transferencia,67.121.88.19,Tablet,0
23,2025-01-11,ACC-618458,ACC-216219,1644.0448912122597,Pago,5.180.202.137,Smartphone,0
24,2024-07-14,ACC-883025,ACC-656608,4935.504120521819,Crédito,177.195.23.173,Smartphone,0
25,2024-05-15,ACC-291661,ACC-782543,3304.119358905156,Pago,120.31.122.71,Computadora,0
26,2024-07-06,ACC-617228,ACC-525149,1445.362105383289,Débito,108.9.158.34,Smartphone,0
27,2024-06-25,ACC-429120,ACC-349691,1701.1470005129233,Transferencia,20.122.63.86,Tablet,0
28,2024-05-07,ACC-960057,ACC-264838,866.9061562972164,Débito,31.200.55.87,Tablet,0
29,2024-04-30,ACC-266588,ACC-659071,2444.1240603259735,Transferencia,42.80.190.140,Smartphone,0
30,2024-06-09,ACC-649567,ACC-694951,2880.9525255665203,Débito,36.245.148.188,Smartphone,0
31,2025-03-24,ACC-287831,ACC-450005,3018.7724441360965,Pago,17.82.111.30,Smartphone,0
32,2024-11-12,ACC-297078,ACC-309501,1764.2085276238013,Pago,57.197.18.14,Smartphone,0
33,2025-03-05,ACC-200315,ACC-295178,3255.41291473342,Crédito,101.44.139.165,Computadora,0
34,2024-05-30,ACC-974204,ACC-591995,3683.3122208546115,Pago,41.5.44.216,Tablet,0
35,2024-06-28,ACC-226190,ACC-221622,2803.424592477617,Crédito,39.81.207.1,Tablet,0
36,2024-10-28,ACC-918070,ACC-685422,2634.3636495624246,Débito,203.42.146.61,Computadora,0
37,2025-01-13,ACC-933414,ACC-703160,2948.761150228242,Crédito,71.200.77.182,Tablet,0
38,2024-12-06,ACC-485445,ACC-786459,363.80305344362984,Transferencia,49.146.206.122,Smartphone,0
39,2024-05-28,ACC-178132,ACC-516637,1747.1598674513923,Crédito,138.97.36.43,Smartphone,0
40,2025-02-15,ACC-492741,ACC-937423,4507.426905276711,Débito,198.35.38.116,Computadora,0
41,2024-08-31,ACC-561480,ACC-976017,3898.0967408155134,Transferencia,198.152.13.32,Tablet,0
42,2024-04-09,ACC-325318,ACC-851768,435.5806828818963,Débito,3.235.16.86,Computadora,0
43,2024-10-15,ACC-552845,ACC-680617,2602.40421406174,Pago,63.208.106.20,Computadora,0
44,2025-01-12,ACC-898410,ACC-419653,3621.2853701411127,Débito,185.141.204.241,Tablet,0
45,2025-02-28,ACC-699923,ACC-217851,865.9647217411014,Crédito,128.252.122.221,Smartphone,0
46,2024-09-03,ACC-590233,ACC-390796,1873.7117544911841,Transferencia,220.59.48.220,Computadora,0
47,2025-01-25,ACC-565894,ACC-864434,4032.253397685756,Pago,155.41.243.241,Computadora,0
48,2024-08-30,ACC-469043,ACC-133298,4902.626763463899,Pago,170.16.115.203,Tablet,0
49,2025-01-27,ACC-991427,ACC-427197,1965.3060169389855,Crédito,112.170.219.239,Tablet,0
50,2024-12-29,ACC-220598,ACC-618613,4352.553846687068,Transferencia,95.162.24.235,Smartphone,0
51,2025-01-28,ACC-502893,ACC-616052,4513.501628658621,Pago,137.48.187.253,Computadora,0
52,2025-02-12,ACC-561062,ACC-521363,4018.2979201960047,Transferencia,36.54.87.117,Computadora,0
53,2024-09-19,ACC-779000,ACC-116233,4792.886331593538,Transferencia,1.78.102.251,Smartphone,0
54,2025-03-04,ACC-878173,ACC-349775,3818.273805324423,Débito,28.31.74.94,Computadora,0
55,2024-11-25,ACC-818916,ACC-714730,3400.8011643787977,Transferencia,116.91.230.185,Computadora,0
56,2025-02-24,ACC-532404,ACC-168641,4731.28052923616,Débito,10.3.144.61,Smartphone,0
57,2024-09-20,ACC-414608,ACC-230591,2517.9548110093374,Crédito,64.23.142.119,Tablet,0
58,2025-03-16,ACC-812496,ACC-303270,766.3966647699098,Débito,102.55.99.173,Tablet,0
59,2024-05-17,ACC-203007,ACC-557974,2953.386843480982,Crédito,213.52.196.186,Smartphone,0
60,2024-12-29,ACC-417014,ACC-577553,2144.771875178327,Transferencia,204.16.133.91,Smartphone,0
61,2025-02-15,ACC-676607,ACC-962549,379.7700163642809,Pago,147.27.144.112,Computadora,0
62,2024-07-22,ACC-177976,ACC-304442,3229.137418643763,Pago,189.191.188.127,Tablet,0
63,2024-04-07,ACC-309789,ACC-114121,1105.8330054073103,Transferencia,156.209.110.138,Smartphone,0
64,2024-04-26,ACC-799893,ACC-788066,4162.693683962576,Transferencia,218.63.18.228,Computadora,0
65,2024-06-29,ACC-382380,ACC-369645,4109.388059713986,Transferencia,123.49.6.15,Computadora,0
66,2025-02-07,ACC-813964,ACC-198911,3237.840730699437,Débito,46.37.93.195,Smartphone,0
67,2024-11-07,ACC-225180,ACC-962850,275.5988846176696,Transferencia,187.212.146.171,Tablet,0
68,2024-06-26,ACC-532950,ACC-174006,4394.432945375145,Débito,100.26.232.54,Smartphone,0
69,2025-03-06,ACC-583424,ACC-347553,2142.4200232327785,Crédito,125.136.97.14,Computadora,0
70,2024-04-21,ACC-881189,ACC-932537,4472.042189254614,Débito,93.27.68.20,Smartphone,0
71,2024-05-31,ACC-806207,ACC-319675,1840.1779277959301,Transferencia,57.135.148.92,Computadora,0
72,2025-02-01,ACC-410497,ACC-214927,4870.021178160172,Débito,29.58.40.138,Tablet,0
73,2024-09-14,ACC-368697,ACC-792753,3689.004668559409,Crédito,195.227.252.208,Smartphone,0
74,2024-11-07,ACC-626676,ACC-964109,4421.420150008786,Débito,223.235.92.4,Computadora,0
75,2024-11-12,ACC-128800,ACC-669088,1036.15612435402,Crédito,37.17.197.62,Tablet,0
76,2025-02-21,ACC-753048,ACC-226555,1819.3973293438705,Débito,28.125.185.226,Smartphone,0
77,2025-03-12,ACC-669560,ACC-430299,4475.83800278347,Transferencia,43.202.140.208,Computadora,0
78,2024-10-24,ACC-946252,ACC-549430,4002.9221416246532,Transferencia,12.132.224.134,Tablet,0
79,2024-05-18,ACC-207519,ACC-616191,247.1224678141936,Pago,95.233.54.139,Tablet,0
80,2024-04-04,ACC-250217,ACC-272224,507.0858165377711,Pago,118.4.201.135,Computadora,0
81,2024-12-29,ACC-185446,ACC-753723,3472.066972573071,Transferencia,97.69.62.139,Tablet,0
82,2024-04-28,ACC-882824,ACC-987514,2051.3123548515027,Débito,132.101.50.158,Smartphone,0
83,2024-09-18,ACC-152900,ACC-698967,3620.5622577834006,Transferencia,37.74.37.102,Computadora,0
84,2024-10-01,ACC-841144,ACC-997859,4333.839773749434,Crédito,104.217.245.136,Smartphone,0
85,2024-10-31,ACC-602906,ACC-723739,672.0810295405321,Débito,150.203.77.75,Smartphone,0
86,2025-03-07,ACC-387104,ACC-137328,2223.988551023205,Crédito,91.114.13.236,Computadora,0
87,2024-09-04,ACC-240146,ACC-482773,1267.0997368363169,Débito,120.59.194.202,Smartphone,0
88,2025-03-08,ACC-543699,ACC-535054,913.9762938055399,Débito,128.53.157.184,Computadora,0
89,2025-01-30,ACC-560690,ACC-899011,1355.4971212054666,Crédito,109.129.234.45,Tablet,0
90,2024-09-17,ACC-225448,ACC-684242,2434.051047625989,Transferencia,186.137.43.156,Computadora,0
91,2025-01-08,ACC-681752,ACC-897453,2005.1090259422294,Pago,42.68.129.124,Tablet,0
92,2024-07-15,ACC-534622,ACC-341005,2421.2746685172324,Pago,150.205.94.68,Smartphone,0
93,2024-04-02,ACC-691554,ACC-187913,3700.8186156921033,Crédito,158.99.70.92,Tablet,0
94,2024-11-01,ACC-607483,ACC-586617,3053.700799644612,Crédito,71.113.240.171,Computadora,0
95,2024-10-06,ACC-894689,ACC-399521,4710.158569603338,Débito,9.177.151.157,Smartphone,0
96,2024-06-12,ACC-445471,ACC-892310,4602.405092319003,Débito,202.81.238.203,Computadora,0
97,2024-06-07,ACC-334468,ACC-216434,1423.145595864549,Débito,53.49.151.159,Computadora,0
98,2024-12-20,ACC-200131,ACC-926600,172.19101949306133,Crédito,192.115.41.213,Computadora,0
99,2025-02-28,ACC-433368,ACC-547290,755.9455454234201,Crédito,132.234.18.168,Tablet,0
100,2024-12-13,ACC-258703,ACC-434845,3638.2164321160863,Transferencia,77.121.237.247,Smartphone,0
101,2024-04-02,ACC-271640,ACC-333425,1038.3745761963312,Transferencia,50.111.60.101,Smartphone,0
102,2024-10-17,ACC-773709,ACC-120676,2889.719557898385,Crédito,137.211.0.32,Computadora,0
103,2025-02-23,ACC-616015,ACC-147907,2128.1535376529423,Crédito,195.95.26.81,Computadora,0
104,2024-05-17,ACC-366409,ACC-497795,2694.919575425212,Débito,24.162.92.246,Smartphone,0
105,2024-10-01,ACC-535349,ACC-855735,3728.340429608479,Pago,213.75.38.19,Computadora,0
106,2024-12-02,ACC-235821,ACC-277579,2195.1463076313935,Crédito,121.2.170.39,Smartphone,0
107,2024-08-12,ACC-618841,ACC-403447,4531.973189954048,Pago,5.162.47.73,Tablet,0
108,2024-09-09,ACC-358431,ACC-697773,4344.646634763579,Débito,141.249.106.130,Computadora,0
109,2025-03-15,ACC-670802,ACC-198012,2739.437008503895,Transferencia,154.203.208.95,Smartphone,0
110,2024-11-05,ACC-961766,ACC-729269,2977.7683168094313,Crédito,49.65.127.61,Computadora,0
111,2024-11-19,ACC-695968,ACC-331842,3157.104577387866,Crédito,103.187.108.60,Computadora,0
112,2024-04-28,ACC-154175,ACC-706214,435.7119714822197,Crédito,117.172.229.33,Computadora,0
113,2024-10-18,ACC-316660,ACC-813667,1130.9259408927117,Transferencia,63.89.179.68,Computadora,0
114,2025-01-08,ACC-488430,ACC-580680,1777.7797398418822,Transferencia,223.75.202.223,Smartphone,0
115,2024-08-15,ACC-818807,ACC-148409,4590.085746560834,Pago,154.157.220.0,Computadora,0
116,2024-09-09,ACC-931062,ACC-116007,409.86819498615665,Transferencia,212.181.61.70,Smartphone,0
117,2024-11-03,ACC-635599,ACC-664957,3907.6918532502514,Débito,46.254.204.30,Computadora,0
118,2024-04-30,ACC-272659,ACC-533097,3577.5635425212586,Crédito,104.202.21.93,Computadora,0
119,2024-06-10,ACC-677030,ACC-809951,2555.847077009411,Débito,169.193.169.191,Smartphone,0
120,2024-04-24,ACC-173983,ACC-235405,1620.877009698049,Pago,151.166.28.175,Smartphone,0
121,2024-05-18,ACC-388704,ACC-771151,1825.8448675466007,Crédito,117.75.88.152,Tablet,0
122,2024-05-21,ACC-244549,ACC-491239,4768.30442871666,Débito,28.7.45.104,Computadora,0
123,2025-01-26,ACC-542661,ACC-538343,3621.9334743917175,Transferencia,129.152.23.180,Tablet,0
124,2024-05-14,ACC-346035,ACC-238329,2284.399447636158,Transferencia,16.112.235.36,Smartphone,0
125,2024-11-30,ACC-358556,ACC-402429,75.65791956436917,Débito,193.26.197.217,Tablet,0
