ID_Contrato,Organismo,Proveedor,Fecha_Inicio,Fecha_Fin,Tipo_Contrato,Monto,Area_Solicitante,Proceso_Licitacion,Es_Sospechoso
1,Soria Ltd,Gutierrez-Mendoza,2025-01-06,2026-02-04,Suministro,158418.25307528605,Tecnología,Privada,0
2,"Acuña, Torres and Duarte",Martinez-Rodriguez,2025-03-02,2026-02-07,Servicios,236958.88128031508,Salud,Pública,0
3,Perez Group,Barrios-Sosa,2025-02-22,2025-11-07,Obra Pública,725030.0427091356,Educación,Pública,0
4,Sosa PLC,"Rodriguez, Alvarez and Franco",2025-01-03,2025-05-02,Servicios,722836.1711806136,Tecnología,Directa,0
5,"Gomez, Rodriguez and Molina",Navarro PLC,2025-01-31,2026-02-17,Suministro,644736.1565564444,Salud,Pública,0
6,"Sanchez, Moreno and Juarez",Sanchez Group,2025-01-04,2025-04-14,Obra Pública,697008.960022429,Salud,Pública,0
7,"Perez, Soto and Gimenez",Gonzalez-Ojeda,2025-01-29,2025-06-19,Suministro,547297.1989141202,Educación,Privada,0
8,"Perez, Navarro and Acosta","Miranda, Sanchez and Ortiz",2025-02-13,2025-05-31,Servicios,259281.06831788324,Educación,Privada,0
9,Rodriguez-Coronel,"Gonzalez, Dominguez and Gonzalez",2025-02-13,2026-02-11,Suministro,352239.03356888023,Infraestructura,Directa,0
10,"Correa, Sanchez and Farias",Rojas LLC,2025-02-04,2025-08-20,Suministro,189781.7396334114,Educación,Privada,0
11,Peralta Inc,"Figueroa, Castro and Peralta",2025-03-24,2025-04-21,Suministro,909366.055720292,Infraestructura,Directa,0
12,Ramos-Leiva,"Lopez, Sanchez and Fernandez",2025-03-09,2025-11-19,Consultoría,587557.8768184592,Salud,Privada,0
13,Carrizo-Cardozo,"Ferreyra, Molina and Diaz",2025-01-27,2025-08-29,Obra Pública,406842.9025960035,Tecnología,Privada,0
14,"Gonzalez, Sanchez and Torres",Molina-Guzman,2025-02-04,2025-04-24,Obra Pública,467385.74560769135,Infraestructura,Directa,0
15,"Gomez, Aguirre and Ayala","Gonzalez, Luna and Guzman",2025-01-13,2025-03-29,Servicios,947810.5062156972,Educación,Pública,0
16,"Rodriguez, Vazquez and Romero",Arias-Cardozo,2025-03-12,2025-08-10,Suministro,161817.88908491938,Educación,Directa,0
17,Martinez LLC,Alvarez Group,2025-01-09,2025-12-24,Suministro,590367.5336966292,Educación,Pública,0
18,Torres Ltd,Carrizo-Maldonado,2025-03-20,2025-08-28,Obra Pública,510829.79209562135,Infraestructura,Privada,0
19,Romero-Romero,Castro-Gutierrez,2025-02-05,2025-12-24,Suministro,615339.6930803014,Tecnología,Privada,0
20,"Maidana, Silva and Muñoz","Rios, Lopez and Cordoba",2025-02-15,2025-12-26,Suministro,27929.081982632102,Salud,Pública,0
21,Juarez-Rojas,"Perez, Guzman and Acosta",2025-03-09,2025-07-06,Suministro,873402.66985471,Tecnología,Directa,0
22,Gonzalez-Rojas,Martinez PLC,2025-03-09,2026-01-05,Servicios,932797.0996587763,Educación,Pública,0
23,Ferreyra-Soto,Rodriguez-Lopez,2025-02-28,2025-04-11,Consultoría,569481.8517533168,Tecnología,Pública,0
24,Vargas-Sanchez,Mendoza Inc,2025-01-13,2025-11-17,Servicios,699684.3156381233,Salud,Privada,0
25,Acosta LLC,"Lopez, Nuñez and Rodriguez",2025-02-08,2026-01-04,Suministro,923274.3873655227,Educación,Privada,0
26,"Fernandez, Gomez and Benitez",Romero PLC,2025-01-11,2025-02-09,Suministro,710166.2479702646,Educación,Pública,0
27,"Hernandez, Guzman and Romero",Gomez-Nuñez,2025-02-04,2025-11-27,Servicios,161013.65248511874,Educación,Directa,0
28,"Ponce, Ruiz and Castro",Villalba-Ledesma,2025-02-01,2025-11-26,Consultoría,580525.4765651451,Infraestructura,Directa,0
29,Ledesma Group,Acosta-Garcia,2025-01-22,2025-12-30,Consultoría,610647.8959190274,Tecnología,Pública,0
30,"Lopez, Sanchez and Ayala",Moyano-Pereyra,2025-02-09,2026-01-20,Suministro,429889.3645893622,Educación,Privada,0
31,Carrizo-Martin,Barrios Ltd,2025-03-17,2025-12-25,Obra Pública,739079.7932684756,Tecnología,Privada,0
32,Rivero-Mansilla,"Miranda, Rodriguez and Roldan",2025-03-20,2025-11-15,Suministro,935023.3446213247,Tecnología,Privada,0
33,Arias-Cordoba,Medina-Campos,2025-01-10,2025-10-02,Obra Pública,926312.8277777085,Tecnología,Privada,0
34,"Sosa, Navarro and Barrios",Medina-Cabrera,2025-02-21,2025-04-02,Consultoría,456330.9776900908,Tecnología,Privada,0
35,Garcia-Arias,"Rodriguez, Nuñez and Roldan",2025-03-16,2025-08-19,Servicios,122105.6653823477,Salud,Directa,0
36,Escobar Ltd,Ramirez-Guzman,2025-01-28,2025-02-25,Suministro,984992.7869727112,Educación,Pública,0
37,"Miranda, Lopez and Rivero","Soto, Perez and Hernandez",2025-03-20,2025-12-01,Suministro,840509.1055814747,Tecnología,Pública,0
38,Romero-Villalba,Suarez-Rodriguez,2025-01-04,2026-03-10,Suministro,133416.05439123418,Tecnología,Directa,0
39,Gutierrez-Diaz,Gomez Ltd,2025-01-04,2025-03-25,Consultoría,921633.4637911986,Salud,Directa,0
40,Rodriguez-Dominguez,Quiroga-Lopez,2025-03-01,2025-03-30,Obra Pública,871197.398441507,Educación,Privada,0
41,"Martinez, Benitez and Ramirez",Fernandez Inc,2025-02-15,2026-02-20,Consultoría,523649.6765548114,Infraestructura,Privada,0
42,Castillo Inc,"Figueroa, Cruz and Castro",2025-03-20,2025-12-12,Obra Pública,595362.68138748,Tecnología,Privada,0
43,"Coronel, Soria and Bravo",Arias-Caceres,2025-01-12,2026-02-18,Consultoría,405012.67683142895,Educación,Directa,0
44,Ortiz-Peralta,Alvarez PLC,2025-01-17,2025-11-23,Servicios,64214.02243381102,Tecnología,Directa,0
45,Sosa-Fernandez,Rios-Martinez,2025-02-11,2025-06-25,Servicios,341845.26922944194,Salud,Directa,0
46,Garcia-Acosta,"Ledesma, Gonzalez and Rodriguez",2025-01-24,2026-02-08,Servicios,804824.9141120313,Infraestructura,Directa,0
47,Duarte-Rojas,Peralta Group,2025-03-08,2026-02-27,Consultoría,14585.70277455683,Infraestructura,Privada,0
48,Silva Ltd,"Valdez, Farias and Gonzalez",2025-02-11,2025-04-12,Obra Pública,340164.17997423274,Infraestructura,Privada,0
49,Fernandez LLC,Escobar and Sons,2025-02-14,2025-09-27,Obra Pública,404187.00665503385,Educación,Privada,0
50,Lopez Group,Sanchez-Maidana,2025-01-27,2025-11-24,Consultoría,542021.6469085437,Salud,Pública,0
51,Diaz and Sons,Torres Group,2025-03-15,2025-09-30,Obra Pública,920657.0602486329,Salud,Pública,0
52,Maidana LLC,Medina-Gomez,2025-03-08,2025-07-02,Obra Pública,352882.5344223016,Infraestructura,Privada,0
53,Gonzalez Group,Alvarez-Lucero,2025-02-15,2025-12-06,Servicios,353483.6698772654,Educación,Directa,0
54,"Gomez, Villalba and Sanchez",Ojeda-Martin,2025-01-05,2025-11-18,Servicios,740126.2356286509,Tecnología,Privada,0
55,Gomez-Martin,Silva-Guzman,2025-01-29,2025-08-28,Obra Pública,457695.7614809091,Infraestructura,Pública,0
56,Torres LLC,Fernandez Inc,2025-01-02,2025-06-13,Consultoría,232358.77471058213,Infraestructura,Privada,0
