ID_Contrato,Organismo_Contratante,Proveedor,Tipo_Contratacion,Fecha_Publicacion,Fecha_Adjudicacion,Monto_Adjudicado,Proceso_Licitacion,Cantidad_Ofertas,Estado,Justificacion_Contratacion_Directa,Plazo_Ejecucion_Dias,Rubro_Bien_Servicio
1,Paez Group,Martinez-Flores,Bienes,2025-02-20,2024-10-18,33573.10202566549,Concurso de Precios,3,Finalizado,,357,"Operador de máquinas pulidoras, galvanizadoras y recubridoras de metales "
2,Ojeda PLC,"Leiva, Perez and Fernandez",Bienes,2024-04-13,2024-10-31,411097.82205369836,Contratación Directa,1,En Curso,,240,Expendedor de gasolineras
3,Gomez-Ruiz,"Gonzalez, Figueroa and Barrios",Servicios,2024-08-09,2024-09-08,323508.65689503326,Licitación Pública,5,Adjudicado,,581,Árbitro deportivo
4,"Caceres, Hernandez and Gonzalez","Ramos, Vazquez and Martinez",Bienes,2024-11-18,2024-08-07,324023.7250521725,Concurso de Precios,3,Cancelado,,55,Organizador de conferencias y eventos
5,Gonzalez Inc,Soto-Fernandez,Servicios,2025-03-02,2024-12-19,65046.613380732706,Contratación Directa,6,Cancelado,,56,Trabajador pecuario de subsistencia
6,Sanchez-Gimenez,"Rodriguez, Alvarez and Vazquez",Servicios,2024-12-23,2024-06-30,325443.396056381,Contratación Directa,8,Adjudicado,,112,Tapicero
7,Suarez and Sons,"Guzman, Rodriguez and Lopez",Servicios,2024-11-10,2024-06-01,491258.8077200227,Concurso de Precios,4,Finalizado,,711,Lavador de vehículos
8,Castro-Navarro,Romero Group,Servicios,2024-11-15,2024-06-03,455997.466200184,Concurso de Precios,5,Cancelado,,442,Decorador de interior
9,Cardozo Inc,Vazquez-Gomez,Obras,2024-04-06,2025-03-23,220126.19974162042,Contratación Directa,5,Finalizado,,196,Aparejador
10,"Perez, Rivero and Perez",Flores-Garcia,Obras,2024-09-30,2024-12-07,20934.038669761077,Concurso de Precios,4,Adjudicado,,729,Profesional de la publicidad y la comercialización
11,"Martinez, Molina and Vega","Villalba, Ojeda and Romero",Servicios,2024-04-02,2025-01-27,181784.4515101022,Licitación Pública,4,En Curso,,198,Operador de máquinas para fabricar productos de papel
