ID_Licitacion,Organismo_Convocante,Objeto,Fecha_Apertura,Fecha_Adjudicacion,Monto_Estimado,Empresa_Ganadora,Ofertas_Presentadas,Monto_Adjudicado,Relacion_Empresas,Ofertas_Similares,Es_Colusion
1,"Rojas, Perez and Herrera",Obras Menores,2025-02-28,2025-03-19,887738.1730880621,Silva-Lopez,3,1064935.2980159281,1,1,0
2,Gomez LLC,Servicios de Consultoría,2025-03-19,2025-03-27,455286.8023331093,Moreno Ltd,6,331330.2522278655,1,1,0
3,"Ortiz, Ledesma and Ramirez",Suministro de Bienes,2025-03-11,2025-04-29,202676.2867025574,Diaz PLC,5,848222.4542914038,0,1,0
4,Torres PLC,Obras Menores,2025-02-09,2025-02-11,374081.7573685167,Diaz-Ojeda,2,690507.9536200018,0,1,0
5,Ortiz-Rivero,Suministro de Bienes,2025-01-08,2025-03-11,419988.45500363776,Gimenez PLC,4,425696.1468613094,0,1,0
6,Medina PLC,Obras Menores,2025-01-09,2025-03-11,829262.5166112055,Dominguez-Martinez,2,233404.8030553506,0,0,0
7,Luna Group,Obras Menores,2025-02-05,2025-03-19,736278.236755788,Suarez LLC,4,141432.5822119124,1,0,0
8,Roldan-Miranda,Obras Menores,2025-02-04,2025-02-23,771611.8447049264,Peralta-Coronel,4,679979.1481304035,0,0,0
9,"Farias, Benitez and Diaz",Obras Menores,2025-03-21,2025-02-13,20920.95178436074,"Morales, Hernandez and Rios",2,854125.4546758267,0,0,0
10,Torres-Benitez,Suministro de Bienes,2025-02-04,2025-03-26,421992.4581979639,Arias PLC,4,711499.5406133736,0,0,0
11,Cabrera PLC,Servicios de Consultoría,2025-01-11,2025-02-09,486530.71011897037,Blanco PLC,3,587559.6273748317,0,0,0
12,Blanco-Lopez,Servicios de Consultoría,2025-02-06,2025-03-03,29000.35405482612,"Rodriguez, Gimenez and Gonzalez",6,54768.784763915166,0,0,0
13,"Gonzalez, Gomez and Sanchez",Obras Menores,2025-02-28,2025-02-27,267215.0766575839,Arias-Lopez,5,1065621.2563554726,0,0,0
14,Gonzalez LLC,Obras Menores,2025-03-02,2025-04-19,762686.9248909137,"Castillo, Romero and Diaz",5,880397.1830951408,0,1,0
15,Rodriguez-Perez,Suministro de Bienes,2025-02-17,2025-03-31,145738.60867170905,"Rios, Chavez and Morales",4,328468.8420407525,1,1,0
16,Ponce-Diaz,Obras Menores,2025-01-16,2025-02-20,539957.0301380657,Paz-Flores,4,1078147.629330506,0,0,0
17,"Farias, Campos and Muñoz",Obras Menores,2025-02-02,2025-01-21,223049.85329706513,Medina Ltd,3,665652.8142932274,0,0,0
18,Escobar-Garcia,Suministro de Bienes,2025-02-27,2025-03-16,21999.56689745434,Ferreyra-Gonzalez,4,644423.1201041059,0,1,0
19,Rodriguez PLC,Obras Menores,2025-02-14,2025-02-08,248789.44302354607,"Villalba, Romero and Aguirre",2,825147.8387576195,0,0,0
20,"Perez, Ponce and Ferreyra",Suministro de Bienes,2025-01-24,2025-03-01,976115.0173609533,"Sanchez, Gomez and Rodriguez",2,894640.8388063401,0,0,0
21,Medina-Alvarez,Obras Menores,2025-02-26,2025-04-09,803521.7407641597,Duarte and Sons,4,725218.1605986694,1,0,0
22,Torres LLC,Obras Menores,2025-01-09,2025-02-10,959980.8778778231,Maldonado-Gonzalez,5,148752.45928552424,0,1,0
23,"Torres, Rios and Gimenez",Suministro de Bienes,2025-03-06,2025-03-14,492975.50348709885,"Vazquez, Pereyra and Cardozo",2,378049.84903999773,1,0,0
24,Medina Group,Servicios de Consultoría,2025-02-20,2025-02-10,118638.83669072847,Gonzalez LLC,3,1021539.2515957203,0,0,0
25,"Mendoza, Garcia and Medina",Suministro de Bienes,2025-01-21,2025-03-08,552479.894083956,"Luna, Lopez and Romero",3,254055.63252164246,1,0,0
26,Torres-Ruiz,Suministro de Bienes,2025-03-10,2025-02-16,459833.5612143613,Acosta-Vargas,4,415034.22300672706,0,0,0
