ID_Licitacion,Organismo_Convocante,Objeto,Fecha_Apertura,Fecha_Adjudicacion,Monto_Estimado,Empresa_Ganadora,Ofertas_Presentadas,Monto_Adjudicado,Relacion_Empresas,Ofertas_Similares,Es_Colusion
1,Perez and Sons,Suministro de Bienes,2025-02-28,2025-05-11,59578.18807676029,Medina-Lopez,4,53620.37100000001,0,0,0
2,Rodriguez-Luna,Servicios de Consultoría,2025-03-16,2025-04-15,32346.483285408158,Garcia LLC,2,29111.832,1,1,0
3,Gonzalez-Perez,Obras Menores,2025-01-23,2025-02-01,59347.81079958842,Ramirez-Lopez,2,53413.029,1,1,0
4,"Soto, Fernandez and Hernandez",Suministro de Bienes,2025-02-10,2025-03-14,37234.837494591215,"Gonzalez, Gomez and Vega",6,33511.356,0,0,0
5,Aguirre LLC,Suministro de Bienes,2025-03-17,2025-04-26,46552.233078913494,Fernandez-Martinez,6,41897.007000000005,0,0,0
6,Suarez-Paz,Suministro de Bienes,2025-01-31,2025-02-04,27343.126345292578,"Ayala, Romero and Guzman",5,24608.817000000003,0,1,0
7,Alvarez PLC,Obras Menores,2025-01-14,2025-03-28,9825.96504126974,"Torres, Vazquez and Vera",3,8843.373,0,0,0
8,Ojeda-Lucero,Suministro de Bienes,2025-01-04,2025-03-05,14789.72951047805,Molina PLC,5,13310.757,0,1,0
9,"Gomez, Herrera and Suarez",Obras Menores,2025-02-19,2025-03-16,12542.866743179693,"Castro, Gutierrez and Toledo",4,11288.583,1,1,0
10,Martinez-Perez,Suministro de Bienes,2025-02-01,2025-02-03,22954.012842520337,"Diaz, Molina and Gomez",4,20658.609,0,0,0
11,Gonzalez Inc,Obras Menores,2025-01-17,2025-02-14,81589.98129187705,Leiva LLC,3,73430.982,0,1,0
12,"Ramirez, Benitez and Gonzalez",Obras Menores,2025-03-27,2025-02-09,99861.2344252936,"Martin, Quiroga and Ponce",2,89875.107,1,1,0
13,"Mendez, Garcia and Correa",Suministro de Bienes,2025-01-17,2025-02-28,30330.661171505264,Martinez Ltd,4,27297.594,0,0,0
14,Ruiz-Romero,Servicios de Consultoría,2025-03-11,2025-04-23,63796.65550973808,Cabrera-Martinez,2,57416.994000000006,0,1,0
15,Moreno-Gimenez,Suministro de Bienes,2025-01-10,2025-03-05,73595.5573919416,Navarro and Sons,6,66236.004,0,0,0
16,Gimenez-Franco,Suministro de Bienes,2025-02-21,2025-04-04,67643.82104871396,"Gomez, Dominguez and Fernandez",5,60879.43800000001,0,0,0
17,Chavez and Sons,Obras Menores,2025-02-14,2025-05-02,62727.13182572499,"Acosta, Gimenez and Escobar",3,56454.417,0,0,0
18,"Bustos, Ojeda and Bravo",Servicios de Consultoría,2025-02-23,2025-01-23,15804.730837492887,Ayala Ltd,4,14224.257,0,0,0
19,Rojas-Quiroga,Suministro de Bienes,2025-03-19,2025-02-22,87704.68780714585,Garcia and Sons,4,78934.221,0,0,0
20,Vega-Castro,Suministro de Bienes,2025-03-18,2025-02-13,79708.65280903965,Acosta-Gonzalez,3,71737.785,1,1,0
21,Avila LLC,Suministro de Bienes,2025-02-08,2025-04-08,55589.52368526351,"Rivero, Torres and Castillo",4,50030.568,0,1,0
22,Morales-Sosa,Obras Menores,2025-03-08,2025-02-27,84568.02080527684,Navarro-Gomez,4,76111.21800000001,0,0,0
23,"Gimenez, Morales and Lucero",Obras Menores,2025-02-15,2025-05-14,48968.51814651714,"Alvarez, Gonzalez and Diaz",3,44071.668,0,0,0
24,Valdez Group,Suministro de Bienes,2025-02-06,2025-01-19,74973.34780398983,Aguirre-Ojeda,4,67476.01500000001,1,0,0
25,Rojas-Suarez,Servicios de Consultoría,2025-01-11,2025-03-30,95625.3088774703,Castillo Inc,3,86062.779,0,0,0
26,Herrera PLC,Obras Menores,2025-03-06,2025-03-24,89258.98651137041,"Soto, Fernandez and Medina",5,80333.091,1,0,0
27,Ruiz-Herrera,Obras Menores,2025-04-02,2025-01-27,19277.553234218874,"Ramirez, Diaz and Martinez",3,17349.795,0,1,0
28,Garcia Ltd,Suministro de Bienes,2025-01-11,2025-04-05,61655.28618260561,Chavez-Lopez,3,55489.761,0,1,0
29,"Ayala, Cabrera and Aguirre",Obras Menores,2025-03-13,2025-02-21,52674.97513661309,"Morales, Cardozo and Rodriguez",2,47407.482,1,1,0
30,Gimenez Group,Servicios de Consultoría,2025-02-23,2025-04-16,38890.74088862979,"Gomez, Ruiz and Rodriguez",3,35001.666,1,1,0
