ID_Transaccion,ID_Cajero,Fecha_Hora,Tipo_Transaccion,Monto,Descripcion,Metodo_Pago,Estado,Es_Fraude
1,203,2025-02-06 11:29:35.659796,Ajuste,477.0589433703089,Ajuste,transferencia,Pendiente,0
2,208,2025-03-01 05:40:56.569402,Devolución,564.1614322711685,Ajuste,Cheque,Completado,0
3,204,2025-02-16 05:42:15.269770,Venta,779.0152517053872,Ajuste,transferencia,Cancelado,0
4,206,2025-03-24 05:12:03.600718,Venta,668.8062960480038,Ajuste,Tarjeta Crédito,Completado,0
5,210,2025-01-16 01:32:40.755073,Reintegro,285.9036017300401,Ajuste,Tarjeta Débito,Pendiente,0
6,211,2025-01-10 16:43:31.967311,Ajuste,988.9750928593544,Devolución,Tarjeta Débito,Cancelado,0
7,209,2025-02-20 16:06:07.070936,Venta,930.0741034729665,Fondo Fijo,transferencia,Cancelado,0
8,209,2025-01-11 00:25:07.669493,Fondo Fijo,962.3840175224755,Ajuste,Tarjeta Crédito,Completado,0
9,204,2025-03-11 08:02:11.903905,Ajuste,805.3077818459009,Ajuste,Tarjeta Crédito,Cancelado,0
10,215,2025-02-04 08:45:49.576501,Venta,163.46599697736684,Devolución,Efectivo,Cancelado,0
11,205,2025-02-15 15:41:39.307779,Venta,560.4751630378088,Venta,Efectivo,Cancelado,0
12,211,2025-02-25 18:31:47.034000,Venta,334.9970254121851,Fondo Fijo,transferencia,Pendiente,0
13,205,2025-01-22 18:19:14.300869,Fondo Fijo,967.8540835815309,Venta,transferencia,Pendiente,0
14,205,2025-02-05 04:13:20.812191,Devolución,143.41764844589375,Ajuste,Tarjeta Débito,Completado,0
15,212,2025-02-03 07:19:18.888580,Ajuste,461.4037827635954,Ajuste,Tarjeta Crédito,Pendiente,0
16,215,2025-01-14 18:09:19.794529,Venta,52.25185075834464,Fondo Fijo,Tarjeta Débito,Pendiente,0
17,212,2025-01-13 19:37:55.050613,Venta,661.2869154190157,Venta,Cheque,Pendiente,0
18,204,2025-01-25 13:59:58.429599,Fondo Fijo,162.74178844482722,Reintegro,Tarjeta Débito,Cancelado,0
19,206,2025-03-30 16:29:48.667115,Reintegro,449.27930343679606,Fondo Fijo,Tarjeta Débito,Cancelado,0
20,215,2025-03-04 21:44:29.092432,Fondo Fijo,747.7471808207814,Reintegro,Tarjeta Crédito,Pendiente,0
21,206,2025-01-28 19:05:21.883350,Devolución,504.6420825132021,Fondo Fijo,Tarjeta Débito,Completado,0
22,208,2025-01-16 21:25:29.456907,Fondo Fijo,173.96774773062793,Ajuste,transferencia,Pendiente,0
23,209,2025-02-17 02:52:44.653466,Devolución,438.6700735051954,Fondo Fijo,transferencia,Cancelado,0
24,202,2025-02-09 19:24:22.430598,Devolución,952.5701990250941,Venta,Cheque,Cancelado,0
25,206,2025-01-10 10:57:11.151147,Devolución,581.7710950368436,Devolución,Efectivo,Completado,0
26,202,2025-02-18 21:10:59.247701,Venta,999.1621571560546,Fondo Fijo,transferencia,Pendiente,0
27,210,2025-02-07 23:49:27.013567,Reintegro,775.5661873600604,Reintegro,Efectivo,Pendiente,0
28,213,2025-01-31 15:54:40.873827,Fondo Fijo,761.093662335409,Devolución,Tarjeta Crédito,Cancelado,0
29,201,2025-03-03 15:58:40.163374,Devolución,135.05391298415023,Venta,Efectivo,Completado,0
30,201,2025-02-14 11:22:24.255643,Ajuste,-5.910047557244711,Fondo Fijo,Efectivo,Cancelado,0
