ID_Empleado,Tipo_Actividad,Monto,Fecha_Hora,Departamento,Es_Sospechoso
104,Descarga_Datos,0.0,2024-09-14 22:00:10.637923,Finanzas,0
104,Modificacion_Datos,15537.73,2025-03-04 23:09:58.550934,RRHH,0
102,Creacion_Usuario,9083.63,2024-08-16 08:12:23.708613,Operaciones,0
103,Descarga_Datos,13991.17,2024-05-09 17:40:34.091302,Contabilidad,0
105,Transferencia_Interna,0.0,2024-09-27 12:32:00.324578,Ventas,0
108,Consulta_Cliente,767.72,2024-11-29 17:12:50.764842,Legal,0
103,Eliminacion_Usuario,10428.98,2024-05-07 09:02:36.539605,Contabilidad,1
105,Consulta_Cliente,6468.97,2024-04-14 02:37:22.358351,Contabilidad,0
106,Modificacion_Datos,0.0,2024-09-19 05:03:34.303758,RRHH,0
103,Descarga_Datos,2197.7,2024-11-17 14:05:59.453574,Contabilidad,0
101,Transferencia_Interna,18912.96,2024-10-09 01:10:47.273738,Legal,0
103,Solicitud_Viaje,0.0,2025-01-24 07:56:05.412678,Legal,1
108,Modificacion_Datos,0.0,2025-02-16 15:03:04.059694,Contabilidad,0
110,Creacion_Usuario,0.0,2024-10-14 05:51:57.754929,Ventas,0
109,Descarga_Datos,0.0,2024-11-09 10:57:47.108861,RRHH,0
109,Acceso_Sistema,10008.29,2024-05-07 12:17:17.786355,Ventas,0
102,Creacion_Usuario,0.0,2025-01-09 04:24:43.816600,Marketing,0
103,Solicitud_Viaje,0.0,2025-03-28 11:19:55.196172,Legal,1
102,Creacion_Usuario,13991.24,2024-12-06 06:02:17.277285,Legal,0
104,Acceso_Sistema,8135.68,2024-05-14 05:45:45.701203,RRHH,0
106,Transferencia_Interna,0.0,2025-01-12 20:26:40.735665,Contabilidad,0
110,Eliminacion_Usuario,13629.15,2024-09-15 05:59:04.217454,RRHH,1
105,Reporte_Financiero,0.0,2025-03-09 01:35:21.156463,Marketing,0
107,Transferencia_Interna,0.0,2024-10-11 23:50:12.991663,Operaciones,0
108,Consulta_Cliente,0.0,2024-06-16 23:23:25.792840,RRHH,0
104,Solicitud_Reembolso,0.0,2024-07-26 03:54:55.634633,Operaciones,1
102,Consulta_Cliente,0.0,2024-07-15 23:27:38.769623,Ventas,0
103,Creacion_Usuario,16470.3,2025-03-18 13:17:01.587223,Finanzas,0
109,Solicitud_Reembolso,8347.55,2024-06-19 12:59:45.235180,RRHH,1
108,Creacion_Usuario,6879.33,2025-01-20 05:27:16.415123,Finanzas,0
