Nombre_Medicamento,Principio_Activo,Presentacion,Laboratorio,Precio_Farmacia_A,Disponibilidad_Farmacia_A,Precio_Farmacia_B,Disponibilidad_Farmacia_B,Precio_Farmacia_C,Disponibilidad_Farmacia_C
voluptates molestias,necessitatibus,Cápsulas,Vega-Sosa,265.32,No,412.41,Sí,451.61,No
molestiae omnis,voluptates,Comprimidos,Luna LLC,313.5,Sí,226.06,No,154.13,No
blanditiis corporis,a,Cápsulas,Peralta and Sons,293.62,No,366.89,No,97.39,Sí
deserunt facilis,impedit,Jarabe,"Martinez, Pereyra and Garcia",88.71,Sí,277.75,No,299.28,No
omnis inventore,minus,Jarabe,"Sanchez, Vega and Acosta",75.66,Sí,136.87,Sí,466.65,No
unde numquam,cum,Comprimidos,Diaz-Vazquez,97.47,No,397.89,Sí,209.36,No
quo maiores,excepturi,Comprimidos,Maidana Inc,313.51,No,323.8,Sí,71.99,No
aliquam reprehenderit,earum,Cápsulas,Martinez-Luna,294.96,Sí,222.9,No,192.6,No
possimus sed,hic,Inyectable,"Diaz, Torres and Quiroga",155.18,Sí,504.78,Sí,265.08,Sí
accusamus maiores,eaque,Jarabe,"Cardozo, Benitez and Dominguez",337.0,No,50.68,No,115.44,Sí
deleniti nostrum,commodi,Inyectable,Carrizo PLC,419.03,No,201.04,No,331.27,No
doloribus mollitia,magni,Cápsulas,Rodriguez PLC,68.71,No,69.01,Sí,479.02,Sí
soluta eaque,illum,Cápsulas,"Garcia, Paz and Perez",274.16,Sí,430.93,No,241.51,No
dolorem aliquid,aut,Cápsulas,"Nuñez, Mendez and Juarez",360.19,No,398.07,No,199.31,No
dolore ab,dicta,Jarabe,"Correa, Nuñez and Martinez",163.54,Sí,208.99,Sí,219.31,Sí
doloremque cupiditate,voluptates,Inyectable,Rodriguez-Martinez,188.5,Sí,384.59,No,95.09,Sí
pariatur repellat,aliquid,Comprimidos,Perez Group,326.14,No,241.93,Sí,429.22,Sí
deleniti at,ipsum,Jarabe,"Ledesma, Aguero and Fernandez",454.07,No,425.69,Sí,225.45,No
perferendis aliquam,error,Comprimidos,Ponce-Pereyra,414.47,Sí,271.63,Sí,213.46,Sí
quasi deserunt,eius,Comprimidos,Alvarez LLC,312.41,No,250.26,No,331.97,Sí
